Clube,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
America Mineiro,8,,,18,,20,,,,,,,,,,,,,,,,
Athletico Paranaense,14,9,5,7,11,6,,,,,,,,,,,,,,,,
Atletico Goianiense,9,13,,,20,,,,,,,,,,,,,,,,,
Atletico Mineiro,1,3,13,6,9,4,,,,,,,,,,,,,,,,
Avai,,,20,,18,,,,,,,,,,,,,,,,,
Botafogo,,20,15,9,10,5,,,,,,,,,,,,,,,,
Ceara,11,11,16,15,,,,,,,,,,,,,,,,,,
Corinthians,5,12,8,13,1,7,,,,,,,,,,,,,,,,
Coritiba,,19,,,17,15,,,,,,,,,,,,,,,,
Cuiaba,15,,,,,,,,,,,,,,,,,,,,,
Fortaleza,4,16,9,,,,,,,,,,,,,,,,,,,
Flamengo,2,1,1,2,6,3,,,,,,,,,,,,,,,,
Fluminense,7,5,14,12,14,13,,,,,,,,,,,,,,,,
Goias,,18,10,,,,,,,,,,,,,,,,,,,
Internacional,12,2,7,3,,17,,,,,,,,,,,,,,,,
Juventude,16,,,,,,,,,,,,,,,,,,,,,
Palmeiras,3,7,3,1,2,1,,,,,,,,,,,,,,,,
Red Bull Bragantino,6,10,,,,,,,,,,,,,,,,,,,,
Santos,10,8,2,10,3,2,,,,,,,,,,,,,,,,
Sao Paulo,13,4,6,5,13,10,,,,,,,,,,,,,,,,
Gremio,,6,4,4,4,9,,,,,,,,,,,,,,,,
Bahia,,14,11,11,12,,,,,,,,,,,,,,,,,
Sport,,15,,17,15,14,,,,,,,,,,,,,,,,
Vasco da Gama,,17,12,16,7,,,,,,,,,,,,,,,,,
Cruzeiro,,,17,8,5,12,,,,,,,,,,,,,,,,
CSA,,,18,,,,,,,,,,,,,,,,,,,
Chapecoense,,,19,14,8,11,,,,,,,,,,,,,,,,
Vitoria,,,,19,16,16,,,,,,,,,,,,,,,,
Parana,,,,20,,,,,,,,,,,,,,,,,,
Ponte Preta,,,,,19,8,,,,,,,,,,,,,,,,
Figueirense,,,,,,18,,,,,,,,,,,,,,,,
Santa Cruz,,,,,,19,,,,,,,,,,,,,,,,
